"id","country_id:id","name","code"
base.state_tw_1,base.tw,"基隆市","2.KLU"
base.state_tw_2,base.tw,"台北市","0.TPE"
base.state_tw_3,base.tw,"新北市","1.TPH"
base.state_tw_4,base.tw,"桃園市","3.TYU"
base.state_tw_5,base.tw,"新竹市","4.HSC"
base.state_tw_6,base.tw,"新竹縣","5.HSH"
base.state_tw_7,base.tw,"宜蘭縣","6.ILN"
base.state_tw_8,base.tw,"苗栗縣","7.MAL"
base.state_tw_9,base.tw,"台中市","8.TGX"
base.state_tw_10,base.tw,"彰化縣","9.CWH"
base.state_tw_11,base.tw,"花蓮縣","a.HWA"
base.state_tw_12,base.tw,"雲林縣","b.YUN"
base.state_tw_13,base.tw,"南投縣","c.NTO"
base.state_tw_14,base.tw,"嘉義市","d.CYI"
base.state_tw_15,base.tw,"嘉義縣","e.CHY"
base.state_tw_16,base.tw,"高雄市","f.KHH"
base.state_tw_17,base.tw,"台南市","g.TNN"
base.state_tw_18,base.tw,"台東縣","h.TTT"
base.state_tw_19,base.tw,"屏東縣","i.PCH"
base.state_tw_20,base.tw,"澎湖縣","j.PEH"
base.state_tw_21,base.tw,"金門縣","k.KMN"
base.state_tw_22,base.tw,"連江縣","l.LNN"